YearsExperience,Salary
9.9,81866.95
5.72,65205.17
3.17,56286.38
1.23,44351.54
4.72,58078.09
4.99,57581.81
0.96,32471.88
2.05,42091.13
1.6,39259.05
6.46,70484.21
8.63,80993.28
6.68,67437.63
9.91,88474.01
4.97,58981.83
6.37,66195.16
3.19,43385.52
9.77,87803.96
6.89,69070.26
4.69,56744.88
3.25,45379.25
5.34,64383.39
1.57,40907.32
2.66,36331.42
5.05,64155.93
2.81,47246.02
4.19,56855.06
8.28,82069.33
1.21,40180.35
9.27,80854.16
2.64,51898.31
7.21,70469.42
1.55,37995.04
6.21,70392.66
4.36,49411.5
8.45,86365.64
2.88,44763.38
4.85,57035.21
5.8,74586.37
2.89,41011.2
1.55,32077.46
7.4,75912.0
3.45,46605.66
8.34,76208.09
4.79,57935.72
1.39,39555.69
8.93,82625.73
7.55,77538.71
1.66,34444.5
8.63,87259.24
1.14,29590.23
2.25,44026.71
2.14,49880.82
9.26,83443.66
6.83,74892.52
2.92,43275.91
2.89,41869.22
9.85,81729.55
6.95,69628.15
4.32,62429.65
1.11,37950.03
4.72,61114.14
2.47,56794.54
3.56,52273.74
6.67,68903.42
7.38,75208.77
4.95,63628.64
2.28,43772.94
3.32,51224.52
1.83,39866.29
1.4,38049.7
5.17,66904.67
9.91,87572.9
8.86,84399.38
2.03,41539.05
3.4,51203.46
6.25,63929.33
9.43,87363.53
7.46,74657.08
0.87,38927.49
2.02,40948.63
1.11,40811.31
4.72,64006.03
8.48,82459.81
5.8,65359.74
9.89,90402.52
7.75,79913.5
9.44,86233.79
7.4,79259.32
2.9,51780.34
9.12,85246.56
7.0,70394.24
1.5,44233.44
6.24,63714.65
7.5,72672.31
2.75,41944.29
9.9,87303.58
8.49,85434.74
4.61,59798.29
7.37,75021.06
6.85,73020.38
