comment,label
You sound horrible,toxic
You're amazing!,support
Stop making content,toxic
Awesome explanation,support
You're such a loser,toxic
So clear and helpful,support
Clickbait title,toxic
You're amazing!,support
Cringe content,toxic
You're amazing!,support
Cringe content,toxic
Keep up the great work,support
You sound horrible,toxic
So clear and helpful,support
Can't believe people like this,toxic
Thanks for the content!,support
You're so dumb,toxic
So clear and helpful,support
Clickbait title,toxic
This helped me a lot!,support
You sound horrible,toxic
Much appreciated!,support
You're so dumb,toxic
Keep up the great work,support
You're so dumb,toxic
I learned a lot!,support
Stop making content,toxic
Legend!,support
Cringe content,toxic
This helped me a lot!,support
Can't believe people like this,toxic
Legend!,support
You're such a loser,toxic
This helped me a lot!,support
Clickbait title,toxic
Best tutorial I've seen,support
This is trash,toxic
Best tutorial I've seen,support
You're so dumb,toxic
I learned a lot!,support
You're such a loser,toxic
This helped me a lot!,support
You're so dumb,toxic
Thanks for the content!,support
You're so dumb,toxic
Thanks for the content!,support
You're such a loser,toxic
Awesome explanation,support
Clickbait title,toxic
Legend!,support
Can't believe people like this,toxic
Best tutorial I've seen,support
You're such a loser,toxic
I learned a lot!,support
Clickbait title,toxic
Best tutorial I've seen,support
You're so dumb,toxic
I learned a lot!,support
Waste of time,toxic
Much appreciated!,support
Cringe content,toxic
Best tutorial I've seen,support
You're such a loser,toxic
Best tutorial I've seen,support
Worst video ever,toxic
This helped me a lot!,support
This is trash,toxic
Keep up the great work,support
This is trash,toxic
I learned a lot!,support
This is trash,toxic
I learned a lot!,support
You're such a loser,toxic
Much appreciated!,support
Waste of time,toxic
You're amazing!,support
Clickbait title,toxic
I learned a lot!,support
Worst video ever,toxic
This helped me a lot!,support
Clickbait title,toxic
Much appreciated!,support
Cringe content,toxic
Keep up the great work,support
This is trash,toxic
So clear and helpful,support
Can't believe people like this,toxic
Awesome explanation,support
You sound horrible,toxic
You're amazing!,support
Can't believe people like this,toxic
Thanks for the content!,support
Can't believe people like this,toxic
Thanks for the content!,support
Waste of time,toxic
I learned a lot!,support
Worst video ever,toxic
So clear and helpful,support
Worst video ever,toxic
You're amazing!,support
