title,author,genre,description
The Silent Patient,Alex Michaelides,Psychological Thriller,Criminal psychotherapist obsessed with uncovering why famous painter murdered husband then stopped speaking. Dark twist ending reveals shocking betrayal.
Project Hail Mary,Andy Weir,Science Fiction,Ailing astronaut with amnesia wakes alone on interstellar ship. Must solve astrophysics puzzle using science to save Earth from extinction-level event.
Where the Crawdads Sing,Delia Owens,Literary Fiction,Abandoned marsh girl becomes naturalist and murder suspect. Courtroom drama interweaves coming-of-age survival story with romantic betrayal mystery.
The Night Circus,Erin Morgenstern,Fantasy,"Magical competition between two illusionists unfolds within black-and-white circus. Love develops as they manipulate time, matter, and human perception."
Atomic Habits,James Clear,Self-Help,Practical framework showing tiny 1% improvements compound into remarkable transformation. Evidence-based strategies for identity-based habit formation.
The Thursday Murder Club,Richard Osman,Mystery,Retired septuagenarians in posh village solve cold cases using life experience. Developer's murder forces them to outsmart police and real killer.
Dune,Frank Herbert,Science Fiction,Noble boy becomes messianic leader of desert planet Arrakis. Must control spice production while navigating political intrigue and ecological warfare.
Beach Read,Emily Henry,Romance,Literary fiction writer and commercial romance author swap genres. Former college rivals challenge each other while processing past relationship trauma.
The Guest List,Lucy Foley,Thriller,"Luxury wedding on storm-swept Irish island turns fatal. Multiple POVs reveal interlocking secrets among guests, staff, and wedding party."
Circe,Madeline Miller,Fantasy,"Banished Titan daughter discovers witchcraft power on isolated island. Feminist retelling exploring immortality, motherhood, and Odysseus encounter."
The Vanishing Half,Brit Bennett,Historical Fiction,"Identical twin sisters from black community choose opposite racial identities. Generational saga spanning 1950s-90s about passing, family, and belonging."
Educated,Tara Westover,Memoir,"Survivalist family rejects hospitals and schools. Seventeen-year-old homeschooled girl enters formal education, causing psychological rupture with past."
The Midnight Library,Matt Haig,Fantasy,"Suicidal woman enters quantum library between life and death. Each book offers alternate life exploring different career, relationship, and regret choices."
Klara and the Sun,Kazuo Ishiguro,Literary Fiction,"Artificial Friend observes humanity while awaiting purchase. Solar-powered AI learns about love, sacrifice, and her programmed obsolescence."
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,Historical Fiction,Aging Hollywood icon reveals true bisexual identity to unknown journalist. Golden Age secrets about studio system manipulation and hidden love.
Mexican Gothic,Silvia Moreno-Garcia,Horror,Glamorous socialite investigates cousin's disturbing marriage invitation. Deco-era mansion contains fungal entity controlling family through dream manipulation.
The Invisible Life of Addie LaRue,V.E. Schwab,Fantasy,Desperate woman makes Faustian deal to live freely but be instantly forgotten. Three centuries pass before antique shop worker unexpectedly remembers her.
Malibu Rising,Taylor Jenkins Reid,Contemporary Fiction,Famous four siblings host annual party exploding into chaos. Night alternates between wild party and flashbacks showing famous father's abandonment.
The Paris Apartment,Lucy Foley,Mystery,Journalist arrives at brother's luxury Paris building to find him missing. Claustrophobic thriller revealing every glamorous tenant as potential killer.
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,Contemporary Fiction,"Childhood friends reunite to create revolutionary video games. Decades-long creative partnership exploring collaboration, identity, illness, and artistic legacy."
